text,mood
My heart aches ever since they walked out.,heartbroken
I'm constantly worried about my finances.,anxious
Everything seems to be falling into place.,happy
I feel shattered after what happened.,heartbroken
Love is in the air.,romantic
Every day feels like a mountain I can't climb.,depressed
Everything seems to be falling into place.,happy
Everything is so unclear right now.,confused
I feel shattered after what happened.,heartbroken
Everything is so unclear right now.,confused
I haven't had proper rest in days.,tired
I'm lost and I need some guidance.,confused
That my boss really crossed the line.,angry
It's hard to control my anger when someone raises their voice.,angry
I just can't stop crying after the meeting.,sad
The silence is deafening.,lonely
I just can't stop crying after the incident.,sad
I can barely keep my eyes open today.,tired
Every little thing is stressing me out lately.,stressed
I feel disconnected from everyone around me.,lonely
I'm trying to move on but it still stings.,heartbroken
I don't know what to do anymore.,confused
"I'm drained, both mentally and physically.",tired
Everything feels repetitive and dull.,bored
Nothing seems worth doing anymore.,depressed
Tears come to my eyes when I think about that memory.,sad
It's hard to control my anger when someone raises their voice.,angry
I'm just wasting time doing nothing interesting.,bored
My heart is heavy because they left.,sad
I just feel empty and numb most of the time.,depressed
I just feel empty and numb most of the time.,depressed
My heart is heavy because I failed.,sad
I'm overwhelmed with responsibilities.,stressed
My heart is heavy because I was betrayed.,sad
I feel like I'm running on empty.,tired
I feel a tight knot in my stomach thinking about what’s next.,anxious
I feel so connected and in love.,romantic
I feel alone even in a crowd.,lonely
Every little thing is stressing me out lately.,stressed
I just feel empty and numb most of the time.,depressed
Why did they leave me when I needed them the most?,heartbroken
Why do they always blame me? I'm losing it.,angry
I feel like I'm running on empty.,tired
That my friend really crossed the line.,angry
Every little thing is stressing me out lately.,stressed
I'm genuinely content with my life right now.,happy
I can barely keep my eyes open today.,tired
I wish I had someone to share this with.,lonely
"I'm feeling so jittery lately, especially with my past.",anxious
I feel alone even in a crowd.,lonely
Today feels like a good day!,happy
I can barely keep my eyes open today.,tired
Love is in the air.,romantic
I feel shattered after what happened.,heartbroken
There's no one I can really talk to.,lonely
That my friend really crossed the line.,angry
I'm overwhelmed with sadness since the argument.,sad
Even getting out of bed feels impossible.,depressed
I'm just wasting time doing nothing interesting.,bored
There's nothing to do and I'm so bored.,bored
I'm just wasting time doing nothing interesting.,bored
I feel so miserable today.,sad
My heart aches ever since we ended things.,heartbroken
The uncertainty around the breakup makes me nervous.,anxious
Every little thing reminds me of someone special.,romantic
I'm smiling for no reason and I love it.,happy
I'm constantly worried about my future.,anxious
I'm constantly worried about my exams.,anxious
I'm smiling for no reason and I love it.,happy
Every little thing reminds me of someone special.,romantic
Deadlines are piling up and I can't breathe.,stressed
"I'm drained, both mentally and physically.",tired
I'm torn between too many choices.,confused
I haven't had proper rest in days.,tired
I'm trying to move on but it still stings.,heartbroken
I can't stop thinking about them.,romantic
I feel a tight knot in my stomach thinking about my career.,anxious
Every little thing reminds me of someone special.,romantic
Every little thing reminds me of someone special.,romantic
My heart skips a beat when I hear their name.,romantic
I'm furious about the breakup.,angry
I'm trying to move on but it still stings.,heartbroken
I'm genuinely content with my life right now.,happy
I wish I had someone to share this with.,lonely
I'm overwhelmed with responsibilities.,stressed
